"Procedure","RunNumberFilterValue","proactiveBlockList","BCText","BCAllowable","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","CorrectAnswer","CueCorrect","ITI","ms","TRs","Cue","Probe","colorlistBasPro","CurrentColor","Probeimage","Location","probeloc","BYListBas2Pro1Rea2","PRO1SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","CueSlide.OnsetDelay","CueSlide.OnsetTime","CueSlide.DurationError","CueSlide.Duration","CueSlide.StartTime","CueSlide.OffsetTime","CueSlide.FinishTime","CueSlide.OffsetDelay","CueSlide.RTTime","CueSlide.ACC","CueSlide.RT","CueSlide.RESP","CueSlide.CRESP","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","Border.OnsetDelay","Border.OnsetTime","Border.DurationError","Border.Duration","Border.StartTime","Border.OffsetTime","Border.FinishTime","Border.OffsetDelay","Border.RTTime","Border.ACC","Border.RT","Border.RESP","Border.CRESP","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","AXList","BXListBas2Pro1Rea2","AngListBas2Pro1Rea1","AYListBas2Pro1Rea2","BngListBas2Pro1Rea1","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","1","1600","6","A","X","1","White","white.tif","center","50%",NA,"1","1300","12","320993","2","300","320983","320995","320995","14","12","321293","1","300","320996","321294","321295","13","12","321593","2","500","321295","321595","321595","14","322195","1","602","1","1","12","322093","2","4000","321595","322095","322095","14","11","326092","2","300","322100","326094","326094","13","0","1","0",NA,NA,"11","326392","2","500","326099","326394","326394","13","326689","1","297","2","2","11","326892","-11","1300","326395","328181","328181","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","3","4000","8","A","X","1","White","white.tif","center","50%",NA,"1","3700","11","328192","2","300","328183","328194","328194","13","11","328492","1","300","328194","328493","328493","12","10","328791","3","500","328494","328794","328794","13","329126","1","335","1","1","10","329291","3","4000","328794","329294","329294","13","10","333291","2","300","329299","333293","333293","12","0","1","0",NA,NA,"10","333591","2","500","333298","333593","333593","12","333866","1","275","2","2","10","334091","-10","3700","333593","337781","337781","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","1","1600","6","F","H","1","White","white.tif","center","50%","11","4","1300","9","337790","2","300","337783","337792","337793","11","9","338090","2","300","337793","338092","338092","11","9","338390","2","500","338092","338392","338392","11","338885","1","495","1","1","9","338890","2","4000","338393","338892","338892","11","8","342889","2","300","338897","342891","342892","10","0","1","0",NA,NA,"8","343189","2","500","342897","343191","343192","10","343527","1","338","1","1","8","343689","-8","1300","343192","344981","344981","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BX","1","1","3","4000","8","N","X","1","White","white.tif","center","50%",NA,"3","3700","25","345006","2","300","344983","345008","345008","27","8","345289","2","300","345008","345291","345291","10","8","345589","2","500","345291","345591","345591","10","346088","1","499","1","1","8","346089","2","4000","345592","346091","346091","10","7","350088","2","300","346096","350090","350091","9","0","1","0",NA,NA,"7","350388","2","500","350096","350390","350391","9","350674","1","286","1","1","7","350888","-7","3700","350391","354581","354581","0","1",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","2","2800","7","C","F","1","White","white.tif","center","50%","1","4","2500","23","354604","2","300","354583","354606","354607","25","6","354887","2","300","354607","354889","354889","8","6","355187","2","500","354890","355189","355190","8","355792","1","605","1","1","6","355687","2","4000","355190","355689","355690","8","6","359687","2","300","355695","359689","359689","8","0","1","0",NA,NA,"6","359987","2","500","359694","359989","359989","8","360336","1","349","1","1","5","360486","-5","2500","359989","362981","362981","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","3","4000","8","A","X","1","White","white.tif","center","50%",NA,"1","3700","22","363003","2","300","362983","363005","363005","24","5","363286","2","300","363005","363288","363288","7","5","363586","2","500","363288","363588","363589","7","364012","1","426","1","1","5","364086","2","4000","363589","364088","364088","7","4","368085","3","300","364093","368088","368088","7","0","1","0",NA,NA,"4","368385","2","500","368093","368387","368388","6","368658","1","273","2","2","4","368885","-4","3700","368388","372581","372581","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AY","1","1","2","2800","7","A","C","1","White","white.tif","center","50%",NA,"2","2500","20","372601","2","300","372583","372603","372604","22","4","372885","1","300","372604","372886","372886","5","3","373184","3","500","372887","373187","373187","6","374298","1","1114","1","1","3","373684","2","4000","373187","373686","373687","5","3","377684","2","300","373692","377686","377686","5","0","1","0",NA,NA,"3","377984","2","500","377691","377986","377986","5","378543","1","559","1","1","3","378484","-3","2500","377986","380981","380981","0","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","1","1600","6","N","D","1","White","white.tif","center","50%","23","4","1300","19","381000","2","300","380983","381002","381002","21","2","381283","2","300","381003","381285","381285","4","2","381583","2","500","381286","381585","381586","4","382226","1","643","1","1","2","382083","2","4000","381586","382085","382086","4","1","386082","3","300","382091","386085","386085","4","0","1","0",NA,NA,"1","386382","3","500","386090","386385","386385","4","386664","1","282","1","1","1","386882","-1","1300","386385","388181","388181","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","1","1600","6","A","X","1","White","white.tif","center","50%",NA,"1","1300","18","388199","2","300","388183","388201","388201","20","1","388482","2","300","388201","388484","388484","3","1","388782","2","500","388485","388784","388784","3","389134","1","352","1","1","1","389282","2","4000","388785","389284","389284","3","0","393281","2","300","389289","393283","393284","2","0","1","0",NA,NA,"0","393581","2","500","393289","393583","393584","2","394008","1","427","2","2","0","394081","0","1300","393584","395381","395381","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bng",NA,"1","2","2800","7","M","1","1","White","white.tif","center","50%",NA,"6","2500","17","395398","2","300","395383","395400","395400","19","0","395681","2","300","395400","395683","395683","2","0","395981","2","500","395683","395983","395983","2","396327","1","346","1","1","0","396481","2","4000","395984","396483","396483","2","16","400497","2","300","396488","400499","400499","18","0","1","0",NA,NA,"16","400797","2","500","400504","400799","400799","18","0","1","0",NA,NA,"16","401297","-16","2500","400800","403781","403781","0","1",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ang",NA,"1","1","1600","6","A","8","1","White","white.tif","center","50%",NA,"5","1300","15","403796","2","300","403783","403798","403799","17","15","404096","2","300","403799","404098","404098","17","15","404396","2","500","404099","404398","404399","17","404723","1","327","1","1","15","404896","2","4000","404399","404898","404899","17","14","408895","3","300","404904","408898","408898","17","0","1","0",NA,NA,"14","409195","3","500","408903","409198","409198","17","0","1","0",NA,NA,"14","409695","-14","1300","409198","410981","410981","0","1",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bng",NA,"1","3","4000","8","F","6","1","White","white.tif","center","50%",NA,"6","3700","14","410995","2","300","410983","410997","410998","16","14","411295","2","300","410998","411297","411297","16","14","411595","2","500","411298","411597","411598","16","412066","1","471","1","1","14","412095","2","4000","411598","412097","412097","16","13","416094","2","300","412103","416096","416097","15","0","1","0",NA,NA,"13","416394","2","500","416102","416396","416397","15","0","1","0",NA,NA,"13","416894","-13","3700","416397","420581","420581","0","1",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","7","?","?","proactiveBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AY","1","1","2","2800","7","A","F","1","White","white.tif","center","50%",NA,"2","2500","13","420594","2","300","420582","420596","420596","15","13","420894","1","300","420596","420895","420895","14","13","421194","2","500","420896","421196","421196","15","421668","1","474","1","1","12","421693","3","4000","421196","421696","421696","15","12","425693","2","300","421701","425695","425695","14","0","1","0",NA,NA,"12","425993","2","500","425700","425995","425995","14","427251","1","1258","1","1","12","426493","-12","2500","425996","428981","428981","0","1",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"FixationGetReadyPROC","proactive1","8","?","?","proactiveBlockList","2","26","11","428992","3","28400","428982","428995","428995","14","7","457388","2","1600","428995","457390","0","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bng",NA,"1","1","1600","6","N","4","1","White","white.tif","center","50%",NA,"6","1300","7","458988","2","300","457392","458990","458990","9","7","459288","1","300","458990","459289","459289","8","6","459587","3","500","459290","459590","459590","9","460070","1","483","1","1","6","460087","2","4000","459590","460089","460090","8","6","464087","2","300","460095","464089","464089","8","0","1","0",NA,NA,"6","464387","2","500","464094","464389","464389","8","0","1","0",NA,NA,"6","464887","-6","1300","464390","466181","466181","0","1",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BY","1","1","3","4000","8","M","N","1","White","white.tif","center","50%","17","4","3700","22","466203","2","300","466183","466205","466206","24","5","466486","2","300","466206","466488","466488","7","5","466786","2","500","466489","466788","466789","7","467220","1","434","1","1","5","467286","2","4000","466789","467288","467289","7","5","471286","2","300","467294","471288","471288","7","0","1","0",NA,NA,"5","471586","2","500","471293","471588","471588","7","471932","1","346","1","1","4","472085","-4","3700","471588","475781","475781","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bng",NA,"1","1","1600","6","T","1","1","White","white.tif","center","50%",NA,"6","1300","21","475802","2","300","475783","475804","475804","23","4","476085","1","300","475804","476086","476087","5","4","476385","2","500","476087","476387","476387","6","476892","1","507","1","1","4","476885","2","4000","476388","476887","476887","6","3","480884","2","300","476892","480886","480887","5","0","1","0",NA,NA,"3","481184","2","500","480892","481186","481187","5","0","1","0",NA,NA,"3","481684","-3","1300","481187","482981","482981","0","1",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AY","1","1","2","2800","7","A","U","1","White","white.tif","center","50%",NA,"2","2500","19","483000","3","300","482983","483003","483003","22","3","483284","1","300","483003","483285","483286","4","3","483584","2","500","483286","483586","483586","5","484139","1","555","1","1","3","484084","2","4000","483586","484086","484086","5","2","488083","2","300","484091","488085","488085","4","0","1","0",NA,NA,"2","488383","2","500","488091","488385","488385","4","488999","0","616","2","1","2","488883","-2","2500","488386","491381","491381","0","0",NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AX","2","1","2","2800","7","A","X","1","White","white.tif","center","50%",NA,"1","2500","18","491399","2","300","491383","491401","491402","20","1","491682","2","300","491402","491684","491684","3","1","491982","2","500","491685","491984","491985","3","492368","1","386","1","1","1","492482","2","4000","491985","492484","492485","3","1","496482","2","300","492490","496484","496484","3","0","1","0",NA,NA,"1","496782","2","500","496489","496784","496784","3","497319","1","537","2","2","1","497282","-1","2500","496784","499781","499781","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
"AXCPTTrialPROC","proactive1","9","?","?","proactiveBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ang",NA,"1","2","2800","7","A","4","1","White","white.tif","center","50%",NA,"5","2500","17","499798","2","300","499783","499800","499800","19","0","500081","2","300","499800","500083","500083","2","0","500381","2","500","500083","500383","500383","2","500820","1","439","1","1","0","500881","2","4000","500384","500883","500883","2","16","504897","2","300","500888","504899","504899","18","0","1","0",NA,NA,"16","505197","2","500","504905","505199","505199","18","0","1","0",NA,NA,"16","505697","-16","2500","505200","508181","508181","0","1",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379
