"Procedure","RunNumberFilterValue","proactiveBlockList","Running","proactiveBlockList.Cycle","proactiveBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","ListLen","NumTrials","ProbePos","TopN","w1","w2","w3","w4","w5","w6","w7","w8","probe","correct","ITI","ms","TRs","PRO1SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","List1Slide.OnsetDelay","List1Slide.OnsetTime","List1Slide.DurationError","List1Slide.Duration","List1Slide.StartTime","List1Slide.OffsetTime","List1Slide.FinishTime","List1Slide.OffsetDelay","List2Slide.OnsetDelay","List2Slide.OnsetTime","List2Slide.DurationError","List2Slide.Duration","List2Slide.StartTime","List2Slide.OffsetTime","List2Slide.FinishTime","List2Slide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"SternTrialPROC","proactive1","3","proactiveBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","4","3","warp","leader","shark",NA,"honor","agent",NA,NA,"item","1","2","2800","11","10","2000","22","254526","2","500","254505","254528","254528","24","5",255009,"2","300","254529","255011","255011","7","5","255309","2","2400","255011","255311","255312","7","5","257709","2","2400","255312","257711","257711","7","4","260108","2","4000","257711","260110","260111","6","4","264108","2","1600","260111","264110","264110","6",265123,1,1015,1,"1","3","265707","-3","2000","264110","267704","267704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",3,"1","1","3","ripple","hose","spell",NA,NA,NA,NA,NA,"hope","1","2","2800","11","11","2000","20","267724","2","500","267705","267726","267726","22","3",268207,"2","300","267726","268209","268209","5","3","268507","2","2400","268209","268509","268509","5","3","270907","2","2400","268510","270909","270909","5","2","273306","2","4000","270909","273308","273309","4","2","277306","2","1600","273309","277308","277308","4",279039,0,1733,2,"1","1","278905","-1","2000","277308","280904","280904","0","0",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","5","3","flag","plate","hunt",NA,"gift","parent",NA,NA,"parent","2","1","1600","10","12","800","18","280922","2","500","280905","280924","280924","20","1",281405,"2","300","280924","281407","281407","3","1","281705","2","2400","281407","281707","281707","3","1","284105","2","2400","281708","284107","284107","3","0","286504","2","4000","284107","286506","286507","2","16","290520","2","1600","286507","290522","290523","18",291603,1,1083,2,"2","16","292120","-16","800","290523","292904","292904","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",2,"2","2","2","cattle","dryer",NA,NA,NA,NA,NA,NA,"dryer","2","3","4000","12","13","3200","16","292920","2","500","292905","292922","292922","18","16",293420,"1","300","292923","293421","293422","17","16","293720","2","2400","293422","293722","293722","18","15","296119","2","2400","293722","296121","296122","17","15","298519","2","4000","296122","298521","298521","17","14","302518","2","1600","298522","302520","302521","16",303609,1,1091,2,"2","14","304118","-14","3200","302521","307304","307304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",2,"2","1","2","suit","oats",NA,NA,NA,NA,NA,NA,"suit","2","1","1600","10","14","800","14","307318","2","500","307305","307320","307320","16","13",307817,"2","300","307320","307819","307819","15","13","308117","3","2400","307820","308120","308120","16","13","310517","2","2400","308120","310519","310519","15","13","312917","2","4000","310520","312919","312919","15","12","316916","2","1600","312920","316918","316919","14",318028,1,1112,2,"2","12","318516","-12","800","316919","319304","319304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","3","proactiveBlockList","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",3,"2","3","3","tool","mass","nail",NA,NA,NA,NA,NA,"nail","2","1","1600","10","15","800","12","319316","2","500","319305","319318","319318","14","12",319816,"1","300","319318","319817","319817","13","12","320116","2","2400","319818","320118","320118","14","11","322515","2","2400","320118","322517","322518","13","11","324915","2","4000","322518","324917","324917","13","10","328914","2","1600","324918","328916","328917","12",329932,1,1018,2,"2","10","330514","-10","800","328917","331304","331304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"FixationGetReadyPROC","proactive1","4","proactiveBlockList","2","17","10","331314","2","28400","331305","331316","331316","12","5","359709","2","1600","331316","359711","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","4","3","essay","voyage","liquor",NA,"menu","board",NA,NA,"menu","2","3","4000","12","16","3200","5","361309","2","500","359713","361311","361311","7","5",361809,"2","300","361312","361811","361811","7","5","362109","2","2400","361811","362111","362111","7","4","364508","3","2400","362112","364511","364511","7","4","366908","2","4000","364511","366910","366911","6","3","370907","3","1600","366911","370910","370910","6",371882,1,975,2,"2","3","372507","-3","3200","370910","375704","375704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","3","3","iron","wife","store",NA,"paper","hill",NA,NA,"rage","1","1","1600","10","17","800","19","375723","2","500","375705","375725","375726","21","3",376207,"1","300","375726","376208","376208","4","3","376507","2","2400","376209","376509","376509","5","2","378906","2","2400","376509","378908","378909","4","2","381306","2","4000","378909","381308","381308","4","1","385305","2","1600","381309","385307","385308","3",386286,1,981,1,"1","1","386905","-1","800","385308","387704","387704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",2,"2","2","2","winner","odds",NA,NA,NA,NA,NA,NA,"laser","1","3","4000","12","18","3200","17","387721","3","500","387705","387724","387724","20","1",388205,"1","300","387724","388206","388207","2","1","388505","2","2400","388207","388507","388507","3","0","390904","2","2400","388507","390906","390907","2","0","393304","2","4000","390907","393306","393306","2","16","397320","2","1600","393307","397322","397322","18",398124,1,804,1,"1","16","398920","-16","3200","397323","402104","402104","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",2,"3","1","2","wool","flick",NA,NA,NA,NA,NA,NA,"wool","2","2","2800","11","19","2000","15","402119","2","500","402105","402121","402122","17","15",402619,"2","300","402122","402621","402621","17","15","402919","2","2400","402621","402921","402922","17","15","405319","2","2400","402922","405321","405321","17","14","407718","2","4000","405321","407720","407721","16","14","411718","2","1600","407721","411720","411720","16",412717,1,999,2,"2","13","413317","-13","2000","411720","415304","415304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","3","3","jobs","guts","color",NA,"prince","praise",NA,NA,"color","2","2","2800","11","20","2000","13","415317","2","500","415305","415319","415320","15","13",415817,"2","300","415320","415819","415819","15","13","416117","2","2400","415819","416119","416119","15","13","418517","2","2400","416120","418519","418519","15","12","420916","2","4000","418519","420918","420919","14","12","424916","2","1600","420919","424918","424918","14",425771,1,855,2,"2","11","426515","-11","2000","424918","428504","428504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",3,"2","2","3","knight","saint","shot",NA,NA,NA,NA,NA,"saint","2","1","1600","10","21","800","11","428515","2","500","428505","428517","428517","13","11",429015,"2","300","428518","429017","429017","13","11","429315","2","2400","429017","429317","429317","13","11","431715","2","2400","429318","431717","431717","13","10","434114","2","4000","431717","434116","434117","12","10","438114","2","1600","434117","438116","438116","12",439301,1,1187,2,"2","9","439713","-9","800","438116","440504","440504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",4,"1","4","3","flute","weight","grade",NA,"stain",NA,NA,NA,"critic","1","3","4000","12","22","3200","9","440513","2","500","440505","440515","440516","11","9",441013,"2","300","440516","441015","441015","11","9","441313","2","2400","441015","441315","441315","11","9","443713","2","2400","441316","443715","443715","11","8","446112","2","4000","443715","446114","446115","10","8","450112","2","1600","446115","450114","450114","10",450970,1,858,1,"1","7","451711","-7","3200","450114","454904","454904","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","1","3","maid","trial","cellar",NA,"delay","hand",NA,NA,"roses","1","1","1600","10","23","800","24","454928","2","500","454905","454930","454930","26","7",455411,"1","300","454930","455412","455413","8","7","455711","2","2400","455413","455713","455713","9","6","458110","2","2400","455713","458112","458113","8","6","460510","2","4000","458113","460512","460513","8","5","464509","3","1600","460513","464512","464512","8",465345,1,836,1,"1","5","466109","-5","800","464512","466904","466904","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",3,"1","1","3","lemon","course","exam",NA,NA,NA,NA,NA,"rumor","1","2","2800","11","24","2000","22","466926","2","500","466905","466928","466928","24","5",467409,"2","300","466928","467411","467411","7","5","467709","2","2400","467411","467711","467711","7","4","470108","3","2400","467712","470111","470111","7","4","472508","2","4000","470111","472510","472511","6","3","476507","3","1600","472511","476510","476510","6",478003,1,1496,1,"1","3","478107","-3","2000","476510","480104","480104","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",3,"2","3","3","shell","deck","heel",NA,NA,NA,NA,NA,"heel","2","1","1600","10","25","800","20","480124","2","500","480105","480126","480126","22","3",480607,"1","300","480126","480608","480609","4","3","480907","2","2400","480609","480909","480909","5","2","483306","3","2400","480909","483309","483309","5","2","485706","2","4000","483309","485708","485708","4","1","489705","2","1600","485709","489707","489708","3",0,0,0,NA,"2","1","491305","-1","800","489708","492104","492104","0","0",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",5,"1","1","3","cradle","resort","steel",NA,"jail","beach",NA,NA,"shell","1","3","4000","12","26","3200","18","492122","2","500","492105","492124","492124","20","1",492605,"2","300","492124","492607","492607","3","1","492905","2","2400","492607","492907","492907","3","0","495304","3","2400","492908","495307","495307","3","0","497704","2","4000","495307","497706","497707","2","16","501720","2","1600","497707","501722","501723","18",503457,0,1737,2,"1","16","503320","-16","3200","501723","506504","506504","0","0",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","5","3","share","girl","crest",NA,"berry","review",NA,NA,"review","2","2","2800","11","27","2000","15","506519","3","500","506505","506522","506522","18","15",507019,"2","300","506522","507021","507021","17","15","507319","2","2400","507021","507321","507322","17","15","509719","2","2400","507322","509721","509721","17","14","512118","3","4000","509722","512121","512121","17","14","516118","2","1600","512122","516120","516120","16",517114,1,996,2,"2","14","517718","-14","2000","516121","519704","519704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",2,"2","1","2","entry","swarm",NA,NA,NA,NA,NA,NA,"rash","1","2","2800","11","28","2000","13","519717","2","500","519705","519719","519720","15","13",520217,"2","300","519720","520219","520219","15","13","520517","2","2400","520219","520519","520520","15","13","522917","2","2400","520520","522919","522919","15","12","525316","2","4000","522920","525318","525319","14","12","529316","2","1600","525319","529318","529318","14",530397,0,1081,2,"1","12","530916","-12","2000","529319","532904","532904","0","0",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",2,"3","1","2","chip","stool",NA,NA,NA,NA,NA,NA,"chip","2","3","4000","12","29","3200","11","532915","2","500","532905","532917","532918","13","11",533415,"2","300","532918","533417","533417","13","11","533715","2","2400","533417","533717","533718","13","11","536115","2","2400","533718","536117","536117","13","10","538514","2","4000","536117","538516","538517","12","10","542514","2","1600","538517","542516","542516","12",543354,1,840,2,"2","9","544113","-9","3200","542516","547304","547304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","5","proactiveBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",2,"3","2","2","prank","parade",NA,NA,NA,NA,NA,NA,"parade","2","1","1600","10","30","800","9","547313","2","500","547305","547315","547315","11","9",547813,"1","300","547316","547814","547815","10","9","548113","2","2400","547815","548115","548115","11","8","550512","3","2400","548115","550515","550515","11","8","552912","2","4000","550515","552914","552915","10","7","556911","3","1600","552915","556914","556914","10",557888,1,977,2,"2","7","558511","-7","800","556914","559304","559304","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"FixationGetReadyPROC","proactive1","6","proactiveBlockList","2","33","24","559328","2","28400","559305","559330","559330","26","3","587707","2","1600","559330","587709","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","7","proactiveBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",4,"1","2","3","street","verse","holder",NA,"toys",NA,NA,NA,"verse","2","2","2800","11","31","2000","2","589306","2","500","587710","589308","589309","4","2",589806,"2","300","589309","589808","589808","4","2","590106","2","2400","589808","590108","590109","4","2","592506","2","2400","590109","592508","592508","4","1","594905","3","4000","592508","594908","594908","4","1","598905","2","1600","594908","598907","598907","3",599932,1,1027,2,"2","1","600505","-1","2000","598907","602504","602504","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
"SternTrialPROC","proactive1","7","proactiveBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",3,"2","2","3","anger","lesson","beetle",NA,NA,NA,NA,NA,"torch","1","2","2800","11","32","2000","17","602521","2","500","602505","602523","602523","19","0",603004,"2","300","602523","603006","603006","2","0","603304","2","2400","603006","603306","603307","2","0","605704","2","2400","603307","605706","605706","2","16","608120","2","4000","605706","608122","608122","18","15","612119","3","1600","608123","612122","612122","18",613871,1,1752,1,"1","15","613719","-15","2000","612122","615704","615704","0","1",NA,NA,NA,NA,NA,NA,NA,NA,103294
