"Procedure","RunNumberFilterValue","baselineBlockList","Running","baselineBlockList.Cycle","baselineBlockList.Sample","Fixation.OnsetDelay","Fixation.OnsetTime","Fixation.DurationError","Fixation.Duration","Fixation.StartTime","Fixation.OffsetTime","Fixation.FinishTime","Fixation.OffsetDelay","getready.OnsetDelay","getready.OnsetTime","getready.DurationError","getready.Duration","getready.StartTime","getready.OffsetTime","getready.CustomOffsetTime","getready.OffsetDelay","TrialType","ListLen","NumTrials","ProbePos","TopN","w1","w2","w3","w4","w5","w6","w7","w8","probe","correct","ITI","ms","TRs","BAS2SamplingList","ShortenedISI","PreISIfix.OnsetDelay","PreISIfix.OnsetTime","PreISIfix.DurationError","PreISIfix.Duration","PreISIfix.StartTime","PreISIfix.OffsetTime","PreISIfix.FinishTime","PreISIfix.OffsetDelay","Flicker.OnsetDelay","Flicker.OnsetTime","Flicker.DurationError","Flicker.Duration","Flicker.StartTime","Flicker.OffsetTime","Flicker.FinishTime","Flicker.OffsetDelay","List1Slide.OnsetDelay","List1Slide.OnsetTime","List1Slide.DurationError","List1Slide.Duration","List1Slide.StartTime","List1Slide.OffsetTime","List1Slide.FinishTime","List1Slide.OffsetDelay","List2Slide.OnsetDelay","List2Slide.OnsetTime","List2Slide.DurationError","List2Slide.Duration","List2Slide.StartTime","List2Slide.OffsetTime","List2Slide.FinishTime","List2Slide.OffsetDelay","Delay.OnsetDelay","Delay.OnsetTime","Delay.DurationError","Delay.Duration","Delay.StartTime","Delay.OffsetTime","Delay.FinishTime","Delay.OffsetDelay","ProbeSlide.OnsetDelay","ProbeSlide.OnsetTime","ProbeSlide.DurationError","ProbeSlide.Duration","ProbeSlide.StartTime","ProbeSlide.OffsetTime","ProbeSlide.FinishTime","ProbeSlide.OffsetDelay","ProbeSlide.RTTime","ProbeSlide.ACC","ProbeSlide.RT","ProbeSlide.RESP","ProbeSlide.CRESP","ISIfix.OnsetDelay","ISIfix.OnsetTime","ISIfix.DurationError","ISIfix.Duration","ISIfix.StartTime","ISIfix.OffsetTime","ISIfix.FinishTime","ISIfix.OffsetDelay","TrialACC","FixationFinal.OnsetDelay","FixationFinal.OnsetTime","FixationFinal.DurationError","FixationFinal.Duration","FixationFinal.StartTime","FixationFinal.OffsetTime","FixationFinal.FinishTime","FixationFinal.OffsetDelay","scanstart.RTTime"
"SternTrialPROC","baseline2","10","baselineBlockList","2","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",6,"1","1","3","dollar","horse","rail",NA,"stance","skin","pride",NA,"dollar","2","3","4000","12","10","3200","19","201448","2","500","201431","201450","201450","21","2",201931,"2","300","201450","201933","201933","4","2","202231","2","2400","201933","202233","202233","4","1","204630","3","2400","202233","204633","204633","4","1","207030","2","4000","204633","207032","207032","3","0","211029","3","1600","207033","211032","211032","3",212287,1,1258,2,"2","0","212629","0","3200","211032","215829","215829","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"2","8","4","meat","note","review","chest","jail","drip","film","exam","exam","2","2","2800","11","11","2000","16","215845","2","500","215830","215847","215848","18","-1",216328,"2","300","215848","216330","216330","1","16","216645","2","2400","216331","216647","216648","18","16","219045","2","2400","216648","219047","219047","18","15","221444","3","4000","219047","221447","221447","18","15","225444","2","1600","221447","225446","225446","17",226224,1,780,2,"2","14","227043","-14","2000","225447","229029","229029","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",8,"2","1","4","moon","torso","tennis","parade","glove","summer","swipe","print","lesson","1","3","4000","12","12","3200","14","229043","2","500","229030","229045","229046","16","14",229543,"2","300","229046","229545","229545","16","14","229843","2","2400","229545","229845","229846","16","14","232243","2","2400","229846","232245","232245","16","13","234642","2","4000","232245","234644","234645","15","13","238642","2","1600","234645","238644","238644","15",239494,1,852,1,"1","12","240241","-12","3200","238644","243429","243429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",7,"1","5","3","launch","sketch","idea",NA,"grill","teeth","truck","nephew","teeth","2","1","1600","10","13","800","12","243441","2","500","243430","243443","243443","14","12",243941,"1","300","243444","243942","243943","13","12","244241","2","2400","243943","244243","244243","14","11","246640","3","2400","244244","246643","246643","14","11","249040","2","4000","246643","249042","249043","13","10","253039","3","1600","249043","253042","253042","13",254213,1,1174,2,"2","10","254639","-10","800","253042","255429","255429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"2","4","4","thrill","trial","jars","kids","pitch","rent","world","onion","kids","2","2","2800","11","14","2000","10","255439","2","500","255430","255441","255441","12","10",255939,"2","300","255442","255941","255941","12","10","256239","2","2400","255941","256241","256241","12","9","258638","3","2400","256242","258641","258641","12","9","261038","2","4000","258641","261040","261041","11","8","265037","3","1600","261041","265040","265040","11",266032,1,995,2,"2","8","266637","-8","2000","265040","268629","268629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","10","baselineBlockList","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",7,"1","7","3","group","nickel","ship",NA,"peak","drawer","curls","ripple","jars","1","1","1600","10","15","800","8","268637","2","500","268630","268639","268640","10","8",269137,"1","300","268640","269138","269139","9","8","269437","2","2400","269139","269439","269439","10","7","271836","3","2400","269440","271839","271839","10","7","274236","2","4000","271839","274238","274239","9","6","278235","3","1600","274239","278238","278238","9",279444,0,1209,2,"1","6","279835","-6","800","278238","280629","280629","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"FixationGetReadyPROC","baseline2","11","baselineBlockList","2","17","23","280652","2","28400","280630","280654","280654","25","1","309030","3","1600","280654","309033","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","5","3","guest","plaza","moose",NA,"baking","harp",NA,NA,"harp","2","2","2800","11","16","2000","1","310630","3","500","309034","310633","310633","4","1",311130,"2","300","310633","311132","311132","3","1","311430","2","2400","311132","311432","311433","3","1","313830","2","2400","311433","313832","313832","3","0","316229","3","4000","313832","316232","316232","3","16","320245","3","1600","316232","320248","320248","19",321241,1,996,2,"2","16","321845","-16","2000","320248","323829","323829","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",8,"2","2","4","house","cattle","cheese","virus","step","stool","goal","brand","sled","1","3","4000","12","17","3200","16","323845","2","500","323830","323847","323847","18","16",324345,"1","300","323848","324346","324347","17","16","324645","2","2400","324347","324647","324647","18","15","327044","2","2400","324647","327046","327047","17","15","329444","2","4000","327047","329446","329447","17","14","333443","3","1600","329447","333446","333446","17",334787,1,1344,1,"1","14","335043","-14","3200","333446","338229","338229","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",8,"1","1","4","beaver","head","void","ghost","retail","wall","fossil","cafe","house","1","3","4000","12","18","3200","14","338243","2","500","338230","338245","338245","16","13",338742,"2","300","338245","338744","338744","15","13","339042","3","2400","338745","339045","339045","16","13","341442","2","2400","339045","341444","341445","15","13","343842","2","4000","341445","343844","343844","15","12","347841","2","1600","343845","347843","347844","14",348877,1,1036,1,"1","12","349441","-12","3200","347844","352629","352629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","4","3","straps","coward","nail",NA,"store","soil",NA,NA,"store","2","2","2800","11","19","2000","11","352640","2","500","352630","352642","352643","13","11",353140,"2","300","352643","353142","353142","13","11","353440","2","2400","353142","353442","353443","13","11","355840","2","2400","353443","355842","355842","13","10","358239","3","4000","355843","358242","358242","13","10","362239","2","1600","358242","362241","362241","12",363173,1,934,2,"2","10","363839","-10","2000","362242","365829","365829","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN",5,"1","2","3","choice","wine","cigar",NA,"terror","leader",NA,NA,"soil","1","2","2800","11","20","2000","9","365838","2","500","365830","365840","365841","11","9",366338,"2","300","365841","366340","366340","11","9","366638","2","2400","366340","366640","366641","11","9","369038","2","2400","366641","369040","369040","11","8","371437","2","4000","369040","371439","371440","10","8","375437","2","1600","371440","375439","375439","10",376899,0,1462,2,"1","7","377036","-7","2000","375439","379029","379029","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",6,"1","4","3","relief","hill","warp",NA,"ticket","park","males",NA,"zebra","1","1","1600","10","21","800","24","379053","2","500","379030","379055","379055","26","7",379536,"2","300","379055","379538","379538","9","7","379836","2","2400","379538","379838","379838","9","7","382236","2","2400","379839","382238","382238","9","6","384635","2","4000","382238","384637","384638","8","6","388635","2","1600","384638","388637","388637","8",389281,0,646,2,"1","5","390234","-5","800","388637","391029","391029","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"2","8","4","voyage","answer","boxes","bacon","folk","clown","bats","action","action","2","3","4000","12","22","3200","22","391051","2","500","391030","391053","391053","24","5",391534,"2","300","391054","391536","391536","7","5","391834","2","2400","391536","391836","391837","7","5","394234","2","2400","391837","394236","394236","7","4","396633","3","4000","394236","396636","396636","7","4","400633","2","1600","396636","400635","400635","6",401745,1,1112,2,"2","3","402232","-3","3200","400636","405429","405429","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",7,"1","3","3","grass","rage","money",NA,"pigs","lemon","polish","client","poison","1","2","2800","11","23","2000","20","405449","2","500","405430","405451","405451","22","3",405932,"2","300","405451","405934","405934","5","3","406232","2","2400","405934","406234","406234","5","2","408631","3","2400","406235","408634","408634","5","2","411031","2","4000","408634","411033","411034","4","1","415030","3","1600","411034","415033","415033","4",416047,1,1017,1,"1","1","416630","-1","2000","415033","418629","418629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","1","3","quiz","loan","meter",NA,"fare","oats",NA,NA,"heaven","1","2","2800","11","24","2000","17","418646","3","500","418630","418649","418649","20","1",419130,"1","300","418649","419131","419132","2","1","419430","2","2400","419132","419432","419432","3","0","421829","2","2400","419432","421831","421832","2","0","424229","2","4000","421832","424231","424231","2","16","428245","2","1600","424232","428247","428248","18",429075,1,830,1,"1","16","429845","-16","2000","428248","431829","431829","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",8,"2","7","4","blouse","spine","cone","meal","hose","rays","text","pair","text","2","3","4000","12","25","3200","15","431844","3","500","431830","431847","431847","18","15",432344,"2","300","431847","432346","432346","17","15","432644","2","2400","432346","432646","432647","17","15","435044","2","2400","432647","435046","435046","17","15","437444","2","4000","435047","437446","437446","17","14","441443","2","1600","437447","441445","441445","16",442435,1,992,2,"2","14","443043","-14","3200","441446","446229","446229","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",5,"3","1","3","others","sailor","chain",NA,"puppet","light",NA,NA,"others","2","3","4000","12","26","3200","13","446242","2","500","446230","446244","446245","15","13",446742,"2","300","446245","446744","446744","15","13","447042","2","2400","446744","447044","447045","15","13","449442","2","2400","447045","449444","449444","15","12","451841","2","4000","449444","451843","451844","14","12","455841","2","1600","451844","455843","455843","14",456715,1,874,2,"2","11","457440","-11","3200","455843","460629","460629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",7,"2","2","3","sewing","crime","girl",NA,"picnic","tissue","figure","cough","crime","2","1","1600","10","27","800","11","460640","2","500","460630","460642","460642","13","11",461140,"1","300","460643","461141","461142","12","11","461440","2","2400","461142","461442","461442","13","10","463839","3","2400","461442","463842","463842","13","10","466239","2","4000","463842","466241","466241","12","9","470238","2","1600","466242","470240","470241","11",471142,1,904,2,"2","9","471838","-9","800","470241","472629","472629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",5,"2","2","3","essay","sand","powder",NA,"dock","victor",NA,NA,"barber","1","1","1600","10","28","800","9","472638","2","500","472630","472640","472640","11","9",473138,"2","300","472641","473140","473140","11","9","473438","2","2400","473140","473440","473440","11","8","475837","3","2400","473441","475840","475840","11","8","478237","2","4000","475840","478239","478240","10","7","482236","3","1600","478240","482239","482239","10",483164,1,928,1,"1","7","483836","-7","800","482239","484629","484629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",8,"2","7","4","liquor","beast","author","arrow","singer","rhyme","victim","jelly","steel","1","1","1600","10","29","800","24","484653","2","500","484630","484655","484655","26","7",485136,"2","300","484655","485138","485138","9","7","485436","2","2400","485138","485438","485438","9","7","487836","2","2400","485439","487838","487838","9","6","490235","2","4000","487838","490237","490238","8","6","494235","2","1600","490238","494237","494237","8",495116,1,881,1,"1","5","495834","-5","800","494237","496629","496629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","12","baselineBlockList","2","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",7,"2","6","3","hunt","quote","lace",NA,"odds","work","cherry","plate","cherry","2","1","1600","10","30","800","22","496651","2","500","496631","496653","496653","24","5",497134,"2","300","496653","497136","497136","7","5","497434","2","2400","497136","497436","497437","7","5","499834","2","2400","497437","499836","499836","7","4","502233","2","4000","499836","502235","502236","6","4","506233","2","1600","502236","506235","506235","6",507461,1,1228,2,"2","3","507832","-3","800","506235","508629","508629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"FixationGetReadyPROC","baseline2","13","baselineBlockList","2","33","20","508649","2","28400","508630","508651","508651","22","15","537044","3","1600","508652","537047","0","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NN",7,"2","4","3","grace","bows","thirst",NA,"flood","adult","plunge","love","book","1","1","1600","10","31","800","15","538644","2","500","537048","538646","538647","17","15",539144,"2","300","538647","539146","539146","17","15","539444","2","2400","539146","539446","539447","17","15","541844","2","2400","539447","541846","541846","17","14","544243","2","4000","541846","544245","544246","16","14","548243","2","1600","544246","548245","548245","16",549424,1,1181,1,"1","13","549842","-13","800","548246","550629","550629","0","1",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",7,"1","1","3","photo","walker","spell",NA,"sheet","boss","filter","pals","photo","2","3","4000","12","32","3200","13","550642","2","500","550631","550644","550645","15","13",551142,"2","300","550645","551144","551144","15","13","551442","2","2400","551144","551444","551445","15","13","553842","2","2400","551445","553844","553844","15","12","556241","3","4000","553844","556244","556244","15","12","560241","2","1600","556244","560243","560243","14",561472,0,1231,1,"2","12","561841","-12","3200","560244","565029","565029","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
"SternTrialPROC","baseline2","14","baselineBlockList","2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP",6,"1","2","3","treaty","profit","shark",NA,"split","dust","club",NA,"profit","2","2","2800","11","33","2000","11","565040","2","500","565030","565042","565043","13","11",565540,"2","300","565043","565542","565542","13","11","565840","2","2400","565542","565842","565842","13","11","568240","2","2400","565843","568242","568242","13","10","570639","2","4000","568242","570641","570642","12","9","574638","3","1600","570642","574641","574641","12",575669,0,1031,1,"2","9","576238","-9","2000","574641","578229","578229","0","0",NA,NA,NA,NA,NA,NA,NA,NA,52622
